dataset,backbone,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
fathomnet,dinov2_small,marine_adapter,100,5,0.666267923025951,0.0021490680013481036,0.6646585369697029,0.6680456543844528,0.6770138683977576,0.0021743444587713906,0.6754204780171141,0.6786072587784007,0.6787283122055224,0.0023225326401663505,0.6768485969697943,0.6804565583011415
fathomnet,dinov2_small,mlp_head,100,5,0.6676952527726643,0.003815719453182363,0.6642412629925096,0.6702453106279179,0.6786072587784007,0.004486651592504774,0.6745352611389791,0.6814399527884332,0.6802112627566845,0.003024314310530982,0.6778147719647503,0.6823010504825437
fathomnet,resnet18,full_finetune,001,5,0.0314291485857603,0.004861849024329592,0.02760903504202996,0.03524926212949063,0.03576276187665979,0.006336844943308878,0.0311006196518147,0.04107406314547064,0.03967610530881576,0.007024897041239837,0.03427640458257684,0.04509319149212497
fathomnet,resnet18,last_block_ft,001,5,0.03573141309628043,0.006938322687094729,0.03143192205211655,0.041991022321053874,0.0414281498967247,0.005678129421742028,0.03776925346709944,0.04662142224845087,0.04665732715776326,0.006036029941526726,0.042690786545845,0.052106743599576566
fathomnet,resnet18,linear_probe,001,5,0.011923123550473235,0.002764966568975149,0.009703884089159526,0.01402589268210518,0.020832103865447035,0.005239506898947108,0.016347005016228978,0.024431985836529953,0.021510274134354627,0.004660578785143295,0.017731216495793137,0.024989194618953065
fathomnet,resnet18,marine_adapter,001,5,0.028308392373529966,0.0027195406337153947,0.026095470800349,0.030273198441978438,0.033402183534966066,0.003004815489666797,0.0311006196518147,0.03576276187665979,0.03626623026126098,0.00316103188038972,0.033475863849200524,0.03876224108732311
fathomnet,resnet18,mlp_head,001,5,0.04005427295534828,0.004291358498431908,0.03651312801600538,0.0432452138190204,0.05063440542933019,0.005866672411018548,0.04697550899970493,0.05570964886397167,0.05477869429891622,0.003989606970543277,0.0517905360341445,0.057766852563687944
fathomnet,resnet18,full_finetune,005,5,0.15511664001615774,0.010579050721622435,0.14692460330955706,0.16314826984339229,0.1792269105930953,0.0070249518512613615,0.1732664502803187,0.1841251106521098,0.1870635141811819,0.010402050233241235,0.1790591879051342,0.19506784045722952
fathomnet,resnet18,last_block_ft,005,5,0.17779946629975954,0.009367052379522602,0.1704502965011822,0.18514863609833687,0.1940985541457657,0.007633195705874307,0.18831513720861612,0.2002360578341694,0.21077055485872642,0.008236425412638564,0.20481277633279374,0.21706209293342044
fathomnet,resnet18,linear_probe,005,5,0.05875646332611698,0.009261277044267446,0.05180889223888099,0.06655494470984222,0.0715845382118619,0.008476847178429588,0.06462083210386545,0.0778990852758926,0.07922523090262537,0.008341648575760828,0.072003360389334,0.08523979535179342
fathomnet,resnet18,marine_adapter,005,5,0.1273525479768133,0.009441631152838383,0.12045244023154796,0.13536627213099423,0.14488049572145173,0.01037379512024016,0.1369725582767778,0.1529064620832104,0.15437733033411252,0.013770843698897374,0.14386953257269008,0.16488512809553496
fathomnet,resnet18,mlp_head,005,5,0.16028935488495685,0.0045047676552972035,0.15700584312633603,0.16385679847455553,0.18672174682797285,0.008000758845716051,0.181410445559162,0.19409855414576568,0.1935383475361435,0.006276266570201406,0.18863186485458822,0.19844483021769874
fathomnet,resnet18,full_finetune,010,5,0.27376407372641876,0.01274059870309886,0.263850382407481,0.28367776504535647,0.29802301563883155,0.011276626907064843,0.2892298613160224,0.30663912658601356,0.3044640079011387,0.01518915276987582,0.292746850176169,0.3161811656261084
